,t=0,t=2,t=3
685,0.6191162671935213,0.9594610221427128,1.3650434807137317
686,0.9306287392741068,1.616183339592989,2.588070499987088
687,0.6185609611137453,0.9583898887412086,1.3632260737962658
688,1.527987470236728,3.2003741223220046,6.442317527641807
689,0.5000955084894884,0.7379644731071698,1.00184552591318
690,0.8370141364777028,1.4070515057503092,2.1751903829812345
691,1.2350174177183961,2.368057285152497,4.254121895539046
692,1.9602940207007962,4.640123945386446,11.168208368621476
693,1.446827678022456,2.9587116312599613,5.76835703287531
694,1.652198797524466,3.5872680437133173,7.589843505434733
695,1.1118939706169988,2.050475752554996,3.5154149599738886
696,1.536766909574444,3.2270381074920076,6.518670020056683
697,1.1601076977382585,2.172627699675803,3.7934244572259126
698,0.8740554420738549,1.48858044518883,2.333555908385735
699,0.9280138897286887,1.6102029838151626,2.5759607493082988
700,0.9295687706007939,1.6137581462958,2.583157522008632
701,1.056742464830152,1.91419257817775,3.2141887660350585
702,0.6145250688625599,0.9506156355487466,1.35005298254592
703,1.447567070849515,2.9608742280708586,5.77424539001773
704,0.9375350871577526,1.6320172261492056,2.620219100158662
705,1.1453847869722955,2.1350266667722257,3.7070361283865387
706,1.766186165815558,3.9609738624864153,8.781380338947994
707,1.0524959842501667,1.9038506624215177,3.191713293897204
708,1.9605078923620356,4.640902851172046,11.171117048783168
709,1.0533014601359867,1.9058106673977742,3.195968714607743
710,1.357194639000705,2.701792547358962,5.086866606458401
711,2.1907787777989527,5.520285412875163,14.722909535447737
712,0.8173635462427199,1.364445639213212,2.0937493757730774
713,1.3494424091580435,2.6800566938514394,5.030839447932554
714,1.4588646897020536,2.9940065619336464,5.864778879803551
715,0.9992318675164366,1.775957368927378,2.9182189773194533
716,0.898430697961053,1.543101455682295,2.4413089691697123
717,2.720670662668439,7.878713874639714,27.33581689031941
718,0.9007989874063494,1.5484356178913439,2.4519307858602812
719,1.238684521267366,2.3778021062788497,4.277610460966113
720,1.448654821511742,2.9640570074803665,5.782916172082221
721,0.7521768251947645,1.2263011278632603,1.8359201359693094
722,0.5430531161769644,0.8160320507693278,1.126940750460135
723,1.934208322079676,4.5456350988059775,10.818340897360766
724,0.35989450019503155,0.498098114043637,0.6380476827803967
725,1.1385006461409404,2.117535765193094,3.667096940148775
726,1.7807165607699478,4.009924542673877,8.94369866794589
727,0.7834686042454699,1.2920039845254228,1.9573568677841109
728,1.9996321270229427,4.784549936471156,11.714488859047956
729,0.978440832913302,1.7269496759539502,2.8155940647256212
730,1.773944571241591,3.9870733846467514,8.867742402067098
