fid,area,perimeter,depth
433,1,4,0.05859375
434,3,8,0.230957031
435,1,4,0.112304688
436,1,4,0.092285156
437,1,4,0.031738281
438,1,4,0.067871094
439,7,14,0.973632813
440,7,12,0.375
441,7,16,0.190429688
442,6,12,0.308105469
443,3,8,0.014160156
444,1,4,0.041015625
445,1,4,0.16796875
446,1,4,0.124023438
447,1,4,0.208984375
448,1,4,0.017089844
449,1,4,0.025878906
450,1,4,0.012207031
451,1,4,0.059082031
452,4,8,0.113769531
453,2,6,0.067871094
454,1,4,0.044921875
455,1,4,0.022949219
456,1,4,0.012695313
457,1,4,0.005371094
458,2,6,0.066894531
459,2,6,0.093261719
460,2,6,0.068847656
461,8,18,0.516601563
462,4,10,0.137207031
463,1,4,0.287597656
464,2,6,0.197265625
465,1,4,0.012695313
466,3,8,0.470214844
467,2,6,0.20703125
468,1,4,0.010253906
469,1,4,0.004882813
470,1,4,0.041015625
471,1,4,0.072753906
472,2,6,0.1015625
473,5,10,0.194335938
474,4,10,0.115234375
475,1,4,0.010742188
476,15,30,0.204101563
477,2,6,0.081542969
478,1,4,0.087890625
479,1,4,0.062011719
480,1,4,0.126464844
481,1,4,0.055664063
482,1,4,0.046875
483,5,10,0.260742188
484,1,4,0.072753906
485,1,4,0.203613281
486,1,4,0.046875
487,1,4,0.001953125
488,1,4,0.018066406
489,1,4,0.005371094
490,1,4,0.064453125
491,1,4,0.036621094
492,1,4,0.010253906
493,1,4,0.032714844
494,1,4,0.001953125
495,1,4,0.041015625
496,1,4,0.033203125
497,1,4,0.063964844
498,3,8,0.084472656
499,4,8,0.3125
500,1,4,0.033203125
501,2,6,0.170410156
502,1,4,0.090820313
503,1,4,0.006347656
504,1,4,0.166503906
505,1,4,0.141601563
506,2,6,0.011230469
507,1,4,0.030761719
508,1,4,0.033691406
509,2,6,0.062988281
510,1,4,0.033691406
511,1,4,0.15625
512,1,4,0.155273438
513,1,4,0.036132813
514,5,12,0.341796875
515,8,14,0.062988281
516,2,6,0.089355469
517,1,4,0.055664063
518,1,4,0.107421875
519,1,4,0.018554688
520,1,4,0.021484375
521,3,8,0.202148438
522,3,8,0.212890625
523,1,4,0.03515625
524,2,6,0.0703125
525,1,4,0.090332031
526,1,4,0.062988281
527,1,4,0.016113281
528,2,6,0.088867188
529,1,4,0.170898438
530,1,4,0.08984375
531,1,4,0.101074219
532,4,10,0.061523438
533,5,12,0.232421875
534,6,14,0.167480469
535,1,4,0.014160156
536,11,18,0.299804688
537,171,112,0.860351563
538,3,8,0.118652344
539,2,6,0.037597656
540,1,4,0.093261719
541,1,4,0.037597656
542,2,6,0.046386719
543,1,4,0.223632813
544,1,4,0.017578125
545,1,4,0.013183594
546,13,20,0.244140625
547,1,4,0.022460938
548,1,4,0.07421875
549,35,64,0.477539063
550,2,6,0.229980469
551,1,4,0.01171875
552,1,4,0.033203125
553,7,12,0.403320313
554,6,14,0.270507813
555,6,12,0.269042969
556,6,12,0.2265625
557,112,76,0.7890625
558,1,4,0.043457031
559,1,4,0.213867188
560,2,6,0.077636719
561,2,6,0.06640625
562,1,4,0.017578125
563,2,6,0.094238281
564,1,4,0.064453125
565,1,4,0.000488281
566,1,4,0.040039063
567,1,4,0.010742188
568,1,4,0.047851563
569,1,4,0.097167969
570,1,4,0.086425781
571,3,8,0.062988281
572,1,4,0.063964844
573,5,12,0.161621094
574,2,6,0.014648438
575,1,4,0.024902344
576,2,6,0.046875
577,1,4,0.045898438
578,6,12,0.248046875
579,1,4,0.031738281
580,1,4,0.0078125
581,1,4,0.002441406
582,1,4,0.026855469
583,1,4,0.071289063
584,1,4,0.013183594
585,1,4,0.025878906
586,1,4,0.1171875
587,1,4,0.007324219
588,2,6,0.0859375
589,1,4,0.005859375
590,1,4,0.131347656
591,1,4,0.104980469
592,1,4,0.021484375
593,1,4,0.198242188
594,1,4,0.051757813
595,4,10,0.118652344
596,5,12,0.19921875
597,4,10,0.479492188
598,1,4,0.01953125
599,4,8,0.207519531
600,2,6,0.106933594
601,1,4,0.018066406
602,1,4,0.11328125
603,1,4,0.208496094
604,1,4,0.040527344
605,1,4,0.026367188
606,1,4,0.0234375
607,1,4,0.037109375
608,1,4,0.055175781
609,2,6,0.128417969
610,1,4,0.025390625
611,2,6,0.048339844
612,1,4,0.216308594
613,1,4,0.012207031
614,2,6,0.046875
615,3,8,0.148925781
616,2,6,0.166503906
617,1,4,0.354003906
618,1,4,0.193359375
619,1,4,0.020507813
620,1,4,0.155273438
621,2,6,0.23828125
622,1,4,0.025390625
623,1,4,0.000976563
624,1,4,0.066894531
625,1,4,0.216796875
626,1,4,0.275878906
