fid,area,perimeter,depth,%ponded,ponded,pond_area,min_elev
140,15,22,0.450195313,0,no,0,4732.594727
141,737,218,3.173339844,0,no,0,4735.309082
142,107,100,1.434082031,0,no,0,4716.059082
143,32,42,0.4375,0,no,0,4722.488281
144,33,38,1.881347656,0,no,0,4713.406738
145,25,32,0.5859375,0,no,0,4710.866211
146,606,186,3.062011719,0,no,0,4709.070313
147,198,116,1.658203125,0,no,0,4708.03125
148,558,154,3.180175781,0,no,0,4699.387207
149,5110,678,8.733886719,0.006066536,yes,31,4710.773438
150,45679,2461,14.52587891,0.026117034,yes,1192,4693.954102
151,1534,356,4.790039063,0.024119948,yes,37,4717.249023
152,108,70,1.214355469,0,no,0,4697.023926
153,50,54,1.086914063,0,no,0,4731.312988
154,11,24,0.170410156,0,no,0,4732.075684
155,535,178,4.146972656,0,no,0,4728.039063
156,736,186,3.854003906,0,no,0,4711.666016
157,296,114,3.157714844,0,no,0,4701.928223
158,929,240,4.514648438,0,no,0,4700.458984
159,1310,306,8.742675781,0,no,0,4696.657715
160,32894,2867,12.62695313,0.001428832,yes,47,4683.436035
161,251241,8801,18.96972656,0.058215021,yes,14623,4668.393555
162,1526,246,6.962402344,0,no,0,4697.82666
163,18,30,0.422851563,0,no,0,4696.101563
164,15096,1473,10.97119141,0.001391097,yes,21,4684.304688
165,285,146,3.144042969,0,no,0,4693.742676
166,949,240,5.657226563,0,no,0,4705.71875
167,46,64,0.962890625,0,no,0,4704.286621
168,18870,1272,12.48144531,0.073661897,yes,1390,4691.665527
169,1350,238,3.368652344,0.028888889,yes,39,4695.794434
170,2478,520,6.084960938,0.02905569,yes,72,4695.523926
171,4675,942,6.659667969,0,no,0,4689.415039
172,87,84,1.513671875,0,no,0,4733.193359
173,181,102,2.438476563,0,no,0,4741.028809
174,158,94,1.3046875,0,no,0,4740.803223
175,972,196,4.584960938,0.022633745,yes,22,4739.353516
176,50,48,1.229492188,0,no,0,4712.234863
177,11,22,0.393066406,,no,0,4793.070801
178,25,40,0.21484375,0,no,0,4714.598145
179,57,56,0.950683594,0,no,0,4740.459961
180,14,24,0.114257813,0.785714286,yes,11,4714.702637
181,2285,276,6.509277344,0.181181619,yes,414,4733.010254
182,23,32,0.523925781,0,no,0,4740.014648
183,213,128,1.837890625,,no,0,4793.833496
184,582,164,3.943847656,0,no,0,4723.401367
185,22,34,0.514160156,0,no,0,4721.104492
186,108,74,2.186523438,0,no,0,4746.342773
187,138,64,1.937011719,0,no,0,4736.761719
188,280,132,2.41796875,0,no,0,4748.713379
189,314,138,2.909179688,0,no,0,4748.837891
